"Skill","RelativePath","RootHash","DocumentSkillsHash"
"docx","scripts\templates\commentsIds.xml","20168F7B237AF091332F8348C548EB7F755F583185BB198359C5978155099D67","AE9F422A4A554A4635860A8ECFC4E8DEDE4050952F4E4CD0A8A772816C7346FF"
"docx","scripts\templates\people.xml","61DB9900B579ACD4C4F84FF7F40DF47E77E9E780C40D5F5EF6A7BEBA41D62EC5","1463C677CAFBC21B6608462DDF086BF3A463D6A3BB6A0363AB9E6D797E69F163"
"docx","scripts\utilities.py","62A4B689056501B91E2DF2D1F4E6335818E421C7390E48050717EA8F461A0ED0","947F3148D10730084948B74117CB5753DA3DE1E59780D9644233DF5ED98A489D"
"docx","SKILL.md","D1650889145289BB240A1F259DC9ECB671978FC9D6084ABF915AD3975FD64389","351357385000DCA18A773AE698BDD03EA082343470A6CBA1CB840F19CA6A9BFB"
"pdf","forms.md","0AB10E9095DEB1C1F9F79EB04254589F55C1D16E095CB53191E03F9FC3184449","A57D1E554AA02FDF4A2CEDE1A1BE562CD9F5C3FCC5B1D969C31EB77E30770611"
"pdf","LICENSE.txt","79F6D8F5B427252FA3B1C11ECDBDB6BF610B944F7530B4DE78F770F38741CFAA","6F8BD7F4D8EC5CB52B7A59CCB9E8C14C2A4BA529CB5ADFC5E0BC676892B8CA79"
"pdf","reference.md","03A5F964F8ABECBBE156F363356E927E864D7EE964F1012C84EE1BFC8ACBEB95","16FBF406156FEB08E2951403C03B1BFD76BE5F2BC6BED1EED0D70C25954AB562"
"pdf","scripts\check_bounding_boxes_test.py","F95DCA01A8B79AAFD152511E9F7BF2BBCD606DDE1BE77D691F03A18624E002CA","8E4C08D98262E8A29B622D4C68526267F21A7C3A582A59C150F0A2F3D329153A"
"pdf","scripts\check_bounding_boxes.py","EB2A5F79C8AA10C57B5867E1F0FC75B52A68B1218442EF9D838DFB4B9EEDC6F4","7DD637DB6AF4D7FB8EF59572364592EEE1D4E8D70668E90A0DEA53A0EF26CA61"
"pdf","scripts\check_fillable_fields.py","250D5AA4E8451D6A83D17D3550C14E6C844AC347145F916EBF7980B118312B41","6C1EA269F6471898C002E2B2A1A2F4877B240703145B2A9C2FD3C88C21F72356"
"pdf","scripts\convert_pdf_to_images.py","095A0105A718AF75EDE309CB03F84A20C81D17F1727F7686FD4B294F1F40294F","C692FC5DE0632F87B21E2FA926A75870E505C08E0E3F6E6FD64AD18BB944B619"
"pdf","scripts\create_validation_image.py","89675BE66B48925D7B498EB9454521C78CF9E9FF188EBF094934B598550EFFE5","FED858132ECC6C6FF130592A5B2C222E4DF29F0BDD9D5E5A80A693FDDDC6E818"
"pdf","scripts\extract_form_field_info.py","9DB1A2720CF54223CDC4BF797080C70F4E0D27288D9F400E066C14524519021D","EA5499CF158B4B634EF68590A9E682E52DF9AE67D89C0B650C55A3677B362E19"
